Rubro,Descripcion,Unidad,Cantidad,Precio Unitario,Subtotal
Estructura y fundaciones,Cemento Portland CPN40 x 50kg,bolsa,120,8500,1020000
Estructura y fundaciones,Arena gruesa lavada,m3,45,18000,810000
Estructura y fundaciones,Piedra partida 6/20,m3,30,22000,660000
Estructura y fundaciones,Hierro ADN420 diam 8mm x 12m,barra,200,9200,1840000
Estructura y fundaciones,Hierro ADN420 diam 10mm x 12m,barra,150,14500,2175000
Estructura y fundaciones,Alambre de atar N17,kg,25,4800,120000
Mamposteria,Ladrillo hueco 18x18x33,u,5000,185,925000
Mamposteria,Ladrillo hueco 12x18x33,u,3000,145,435000
Mamposteria,Cal hidraulica x 30kg,bolsa,80,6200,496000
Mamposteria,Mezcla adhesiva x 30kg,bolsa,60,5800,348000
Instalacion sanitaria,Cano PPL termofusion 20mm x 4m,barra,40,3200,128000
Instalacion sanitaria,Cano PPL termofusion 25mm x 4m,barra,25,4100,102500
Instalacion sanitaria,Cano PVC 110mm x 4m,barra,15,12500,187500
Instalacion sanitaria,Pileta de cocina acero inox 1 metro,u,2,85000,170000
Instalacion electrica,Cable unipolar 2.5mm rojo x 100m,rollo,5,42000,210000
Instalacion electrica,Cable unipolar 2.5mm celeste x 100m,rollo,5,42000,210000
Instalacion electrica,Cable unipolar 4mm verde/amarillo x 100m,rollo,3,58000,174000
Instalacion electrica,Tablero 12 bocas,u,2,35000,70000
Terminaciones,Membrana asfaltica 4mm x 10m2,rollo,20,32000,640000
Terminaciones,Pintura latex interior x 20lts,lata,12,48000,576000
Terminaciones,Ceramica piso 45x45 1era,m2,85,8900,756500
Terminaciones,Pegamento ceramico x 30kg,bolsa,45,5200,234000
